Исходное слово,Перевод,Количество упоминаний
герман,german,103
сравнить,Add Compare,65
мамуля,mommy,60
чт,Thu,58
пт,Fri,21
сб,66,19
быть,be,16
не,not,15
я,.,14
и,and,13
в,in,12
на,Moscow City Committee for State Registration of Real Estate Titles,11
а,а,10
что,what,8
ну,well,7
он,??,6
там,there,6
так,so,5
это,is,5
да,Yes,5
она,she,5
как,as,5
ты,ration,5
то,than,5
найти,find,4
вы,vy,4
с,с,4
кстати,By the way,4
когда,when,4
поздний,late,4
бабушка,Grandmother,4
раз,time,4
дата,date,4
бы,would,4
такой,so,3
ещё,more,3
документ,Document,3
экзамен,exam,3
дом,house,3
один,Alone,3
думать,think,3
сейчас,"Now,",3
пара,pair,3
точно,exact value,3
сессия,Session,3
есть,yes,3
время,Time,3
мы,we're,3
у,y,3
посмотреть,view,3
че,th,3
билет,ticket,3
выходной,Weekend,2
дело,matter,2
фотка,Фотка :,2
вот,BDT,2
минута,a minute,2
же,Wher,2
вообще,at all,2
просто,Simple,2
другой,other,2
дать,let,2
сайт,Website,2
они,Oni,2
этот,this...,2
точный,accurate,2
уже,Your Business,2
позвонить,Make a Call,2
понять,captain.,2
лечь,lie down,2
сам,self,2
ахахахах,hahahah,2
бейлис,Bailey's,2
красавчик,Keinohrhasen,2
мусор,waste,2
снова,again,2
даже,even,2
потом,then,2
домой,home,2
праздник,holiday,2
сказать,tell,2
всё,Everything,2
нет,no,2
федя,fedya,2
сказка,Fairy tale,2
звонить,call,2
почти,almost,2
ли,Lee,2
тыс,thousand,2
по,under,2
взять,get,2
знать,Aristocracy,2
давка,Crush,1
тьма,Darkness,1
народ,land,1
рабочий,working,1
день,day,1
будний,weekday,1
вместимость,holding capacity,1
огий,огий,1
час,Hours,1
раскупить,to redeem,1
тысяча,Thousand,1
большой,large,1
пропускать,skip,1
нельзя,is not acceptable either. ,1
футбол,soccer,1
успеть,Have time,1
тайм,Halftime,1
ой,.,1
купить,buy,1
согласный,consonant,1
интересно,it is interesting,1
смотреть,look,1
выйти,Log out,1
россия,Russia,1
достойный,worthy,1
фильм,movie,1
понравиться,like,1
тоже,the same,1
ахазазазаза,ahazazaza,1
главное,home,1
свой,its own,1
обрезать,обрезать,1
домик,Dom,1
кружок,Circle,1
хоть,Feyder – Nuh Follow Me 4. Ozma – […],1
поснимать,to take pictures,1
ехать,to go,1
прийтись,to come,1
остаться,stay on the runway,1
хорошо,good,1
ленин,(Lenin),1
побывать,visit.,1
неделька,week,1
поехать,go,1
захахахахха,zahahahahha,1
хороший,Good,1
красноярск,Krasnoyarsk,1
томск,Tomsk,1
омск,Omsk,1
прикольно,Cool,1
сделать,todo,1
густо,thick,1
новосибирск,Novosibirsk,1
ахаххахахах,hahahahah,1
прыгать,to jump,1
потолок,Ceiling,1
до,to,1
ужас,Horror,1
приехать,go far,1
представлять,guess,1
ахахахахах,hahahahah,1
забыть,forget,1
аааа,Uhmmm.,1
олень,Deer,1
чтоть,what,1
или,or,1
зима,winter,1
столица,capital,1
год,year,1
прошлый,last,1
наоборот,misclassified,1
наряжать,to dress up,1
кружочек,circle,1
качалка,Walking beam,1
дедушка,Kinship,1
страница,page,1
второй,second,1
награждение,VICTORY CEREMONY,1
о,C,1
приказ,order,1
только,only,1
но,но,1
находить,to find you. ,1
пулемётчик,пулемётчик,1
убить,kill,1
немец,German,1
сначала,first,1
много,many,1
опечатка,misprint,1
тот,Thoth,1
медаль,medal,1
за,for,1
дудоров,doodors,1
где,Where,1
написать,Comment,1
дударев,dudarev,1
дудор,dudor,1
волновать,embroil,1
кто,who,1
ого,.,1
мода,fashion,1
проходить,"pass,",1
период,period,1
казаться,seem,1
неделя,week,1
через,in,1
озвучить,Text for voiceover:,1
возможно,possible,1
каникулы,School holiday,1
кайф,Feelgood,1
приступать,Proceed,1
нг,ng,1
после,after,1
план,forecast,1
учебный,учебный,1
твой,your,1
засыпать,to fall asleep,1
спать,sleep,1
примерно,estimation,1
тишина,Silence,1
хотеться,want to,1
понл,ponl,1
побаливать,побаливать,1
очень,very,1
голова,head,1
устать,Weary,1
чета,couple,1
наливать,to pour,1
вода,water,1
куда,to,1
устанавливать,Install,1
читать,read,1
надо,надо,1
кайфовать,to get high,1
мыть,to wash,1
будто,"It was, like... ",1
мочь,might,1
завтра,tomorrow,1
охота,hunting,1
сегодня,today,1
помыть,Clean..?,1
попробовать,Free trial,1
вечно,forever,1
сыпиться,to crumble,1
от,from,1
собака,Dog,1
лушие,lushi,1
вчера,yesterday,1
насобирать,насобирать,1
столько,"So many?""",1
включить,enable,1
около,approximately,1
рассказать,Share,1
учёт,& ktimetracker;,1
встать,get up,1
новогодний,New Year,1
чуть,a little,1
нск,NSC,1
ммм,mmm,1
зачёь,credit,1
почему,why the,1
нееее,neehey,1
ахахазазазаза,ahahazazaza,1
сторонка,party,1
стоять,stand;,1
вроде,sort,1
включать,include,1
поживать,ПОЖИВАТЬ,1
светло,Bright,1
вечер,evening,1
шесть,six,1
весна,spring,1
прям,Direct,1
вид,type,1
какой,which,1
чем,.,1
можно,May I come in? ,1
если,if,1
распродажа,sale,1
s,/,1
